,state,date,23005,23019,23031,total_cnts
104,ME,2021-11-23,8.0,1.0,6.0,23.0
105,ME,2021-11-24,1.0,1.0,1.0,12.0
106,ME,2021-11-25,1.0,4.0,1.0,19.0
107,ME,2021-11-26,4.0,1.0,1.0,13.0
108,ME,2021-11-27,1.0,5.0,1.0,13.0
109,ME,2021-11-28,1.0,5.0,1.0,14.0
110,ME,2021-11-29,1.0,1.0,5.0,21.0
232,ME,2021-11-30,7.0,5.0,4.0,23.0
111,ME,2021-12-01,1.0,5.0,4.0,22.0
233,ME,2021-12-02,4.0,4.0,6.0,24.0
112,ME,2021-12-03,4.0,1.0,4.0,20.0
113,ME,2021-12-04,4.0,1.0,1.0,12.0
114,ME,2021-12-05,7.0,1.0,1.0,17.0
115,ME,2021-12-06,5.0,5.0,6.0,26.0
116,ME,2021-12-07,5.0,5.0,6.0,24.0
117,ME,2021-12-08,1.0,5.0,8.0,25.0
118,ME,2021-12-09,1.0,1.0,4.0,12.0
119,ME,2021-12-10,4.0,1.0,1.0,12.0
120,ME,2021-12-11,5.0,4.0,6.0,21.0
121,ME,2021-12-12,4.0,7.0,1.0,20.0
122,ME,2021-12-13,10.0,5.0,6.0,32.0
123,ME,2021-12-14,6.0,4.0,6.0,27.0
124,ME,2021-12-15,4.0,1.0,7.0,25.0
125,ME,2021-12-16,5.0,0.0,4.0,18.0
447,ME,2021-12-17,4.0,7.0,10.0,27.0
234,ME,2021-12-18,1.0,0.0,8.0,18.0
448,ME,2021-12-19,1.0,1.0,4.0,11.0
235,ME,2021-12-20,5.0,4.0,1.0,27.0
126,ME,2021-12-21,6.0,1.0,1.0,18.0
127,ME,2021-12-22,5.0,1.0,6.0,18.0
128,ME,2021-12-23,1.0,1.0,1.0,8.0
562,ME,2021-12-24,0.0,4.0,1.0,10.0
129,ME,2021-12-25,0.0,1.0,6.0,15.0
236,ME,2021-12-26,1.0,1.0,4.0,14.0
130,ME,2021-12-27,1.0,6.0,1.0,14.0
449,ME,2021-12-28,5.0,5.0,4.0,18.0
450,ME,2021-12-29,1.0,4.0,5.0,18.0
131,ME,2021-12-30,7.0,1.0,7.0,21.0
132,ME,2021-12-31,6.0,1.0,1.0,16.0
237,ME,2022-01-01,8.0,1.0,4.0,20.0
133,ME,2022-01-02,1.0,0.0,9.0,22.0
134,ME,2022-01-03,12.0,1.0,8.0,27.0
135,ME,2022-01-04,6.0,4.0,5.0,24.0
136,ME,2022-01-05,6.0,1.0,6.0,18.0
137,ME,2022-01-06,5.0,4.0,4.0,22.0
138,ME,2022-01-07,5.0,0.0,6.0,18.0
238,ME,2022-01-08,4.0,1.0,7.0,19.0
139,ME,2022-01-09,4.0,1.0,5.0,16.0
140,ME,2022-01-10,5.0,1.0,1.0,16.0
141,ME,2022-01-11,7.0,4.0,1.0,18.0
451,ME,2022-01-12,1.0,1.0,10.0,20.0
142,ME,2022-01-13,9.0,4.0,4.0,23.0
143,ME,2022-01-14,9.0,1.0,9.0,27.0
144,ME,2022-01-15,4.0,1.0,1.0,13.0
145,ME,2022-01-16,8.0,1.0,5.0,21.0
146,ME,2022-01-17,7.0,6.0,9.0,28.0
147,ME,2022-01-18,5.0,1.0,4.0,18.0
148,ME,2022-01-19,4.0,1.0,7.0,22.0
149,ME,2022-01-20,11.0,5.0,11.0,32.0
452,ME,2022-01-21,6.0,1.0,1.0,18.0
453,ME,2022-01-22,5.0,1.0,6.0,16.0
150,ME,2022-01-23,4.0,4.0,4.0,19.0
151,ME,2022-01-24,1.0,1.0,5.0,16.0
454,ME,2022-01-25,1.0,4.0,6.0,14.0
455,ME,2022-01-26,6.0,1.0,4.0,16.0
239,ME,2022-01-27,5.0,5.0,1.0,16.0
