,state,date,41005,41029,41035,41043,41047,41051,41067,total_cnts
300,OR,2021-04-01,1.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0
651,OR,2021-04-02,0.0,1.0,1.0,1.0,0.0,1.0,0.0,7.0
301,OR,2021-04-03,1.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0
536,OR,2021-04-04,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0
302,OR,2021-04-05,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
303,OR,2021-04-06,4.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0
304,OR,2021-04-07,1.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0
305,OR,2021-04-08,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0
306,OR,2021-04-09,1.0,1.0,1.0,1.0,0.0,1.0,0.0,9.0
307,OR,2021-04-10,1.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0
668,OR,2021-04-11,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0
308,OR,2021-04-12,1.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0
309,OR,2021-04-13,1.0,1.0,4.0,1.0,1.0,4.0,0.0,14.0
596,OR,2021-04-14,0.0,1.0,7.0,1.0,0.0,5.0,0.0,16.0
310,OR,2021-04-15,1.0,0.0,5.0,1.0,1.0,1.0,0.0,14.0
311,OR,2021-04-16,1.0,0.0,1.0,1.0,0.0,1.0,1.0,11.0
312,OR,2021-04-17,1.0,0.0,1.0,1.0,1.0,4.0,1.0,10.0
313,OR,2021-04-18,1.0,0.0,1.0,1.0,0.0,1.0,1.0,9.0
314,OR,2021-04-19,1.0,0.0,1.0,1.0,1.0,1.0,1.0,10.0
315,OR,2021-04-20,1.0,1.0,5.0,1.0,1.0,4.0,1.0,15.0
54,OR,2021-04-21,0.0,0.0,0.0,4.0,1.0,1.0,1.0,10.0
316,OR,2021-04-22,1.0,0.0,1.0,6.0,1.0,1.0,1.0,13.0
317,OR,2021-04-23,1.0,0.0,1.0,1.0,1.0,5.0,1.0,12.0
318,OR,2021-04-24,1.0,0.0,1.0,1.0,1.0,1.0,1.0,12.0
319,OR,2021-04-25,1.0,0.0,0.0,1.0,1.0,4.0,1.0,12.0
320,OR,2021-04-26,1.0,0.0,4.0,1.0,4.0,1.0,1.0,15.0
55,OR,2021-04-27,1.0,1.0,8.0,1.0,1.0,4.0,1.0,21.0
321,OR,2021-04-28,4.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0
56,OR,2021-04-29,1.0,0.0,5.0,0.0,1.0,5.0,1.0,17.0
57,OR,2021-04-30,1.0,0.0,7.0,0.0,1.0,4.0,1.0,19.0
7,OR,2021-05-01,1.0,1.0,1.0,1.0,1.0,5.0,1.0,14.0
537,OR,2021-05-02,0.0,1.0,5.0,1.0,0.0,4.0,1.0,18.0
322,OR,2021-05-03,1.0,1.0,4.0,4.0,1.0,5.0,1.0,19.0
323,OR,2021-05-04,1.0,0.0,6.0,1.0,1.0,0.0,1.0,17.0
324,OR,2021-05-05,1.0,0.0,6.0,1.0,1.0,4.0,0.0,18.0
325,OR,2021-05-06,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10.0
326,OR,2021-05-07,1.0,0.0,8.0,1.0,1.0,1.0,1.0,18.0
327,OR,2021-05-08,1.0,0.0,5.0,0.0,1.0,6.0,0.0,16.0
58,OR,2021-05-09,4.0,0.0,5.0,1.0,4.0,1.0,1.0,20.0
59,OR,2021-05-10,1.0,0.0,5.0,1.0,1.0,4.0,1.0,18.0
328,OR,2021-05-11,1.0,0.0,1.0,4.0,0.0,1.0,1.0,17.0
60,OR,2021-05-12,4.0,0.0,9.0,1.0,1.0,1.0,0.0,21.0
329,OR,2021-05-13,1.0,1.0,6.0,1.0,1.0,1.0,1.0,18.0
330,OR,2021-05-14,1.0,1.0,4.0,1.0,0.0,1.0,0.0,15.0
331,OR,2021-05-15,1.0,0.0,5.0,1.0,0.0,4.0,1.0,15.0
61,OR,2021-05-16,1.0,0.0,4.0,1.0,0.0,1.0,1.0,12.0
332,OR,2021-05-17,5.0,1.0,7.0,1.0,0.0,1.0,1.0,21.0
597,OR,2021-05-18,0.0,0.0,1.0,1.0,0.0,5.0,1.0,15.0
333,OR,2021-05-19,1.0,1.0,1.0,1.0,0.0,5.0,1.0,12.0
334,OR,2021-05-20,1.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0
557,OR,2021-05-21,0.0,0.0,1.0,1.0,1.0,6.0,1.0,16.0
335,OR,2021-05-22,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10.0
62,OR,2021-05-23,0.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0
336,OR,2021-05-24,1.0,0.0,4.0,1.0,1.0,1.0,1.0,12.0
337,OR,2021-05-25,1.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0
338,OR,2021-05-26,1.0,0.0,4.0,1.0,1.0,5.0,1.0,16.0
578,OR,2021-05-27,0.0,0.0,5.0,1.0,1.0,1.0,1.0,11.0
579,OR,2021-05-28,0.0,1.0,1.0,1.0,1.0,6.0,1.0,13.0
63,OR,2021-05-29,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0
339,OR,2021-05-30,1.0,1.0,1.0,1.0,1.0,6.0,0.0,12.0
340,OR,2021-05-31,1.0,0.0,1.0,1.0,1.0,1.0,1.0,11.0
341,OR,2021-06-01,1.0,0.0,4.0,1.0,1.0,1.0,1.0,11.0
8,OR,2021-06-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0
342,OR,2021-06-03,1.0,0.0,1.0,0.0,1.0,1.0,1.0,6.0
652,OR,2021-06-04,0.0,1.0,1.0,1.0,0.0,1.0,0.0,6.0
343,OR,2021-06-05,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
344,OR,2021-06-06,1.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0
345,OR,2021-06-07,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
