,state,date,16001,16011,16027,total_cnts
470,ID,2021-11-12,0.0,1.0,1.0,7.0
528,ID,2021-11-13,0.0,1.0,1.0,6.0
529,ID,2021-11-14,0.0,1.0,1.0,9.0
287,ID,2021-11-15,1.0,1.0,1.0,7.0
474,ID,2021-11-16,0.0,1.0,1.0,13.0
288,ID,2021-11-17,1.0,1.0,1.0,11.0
475,ID,2021-11-18,0.0,1.0,1.0,5.0
471,ID,2021-11-19,0.0,0.0,1.0,4.0
550,ID,2021-11-20,0.0,0.0,1.0,6.0
454,ID,2021-11-21,0.0,0.0,1.0,7.0
289,ID,2021-11-22,1.0,0.0,1.0,7.0
290,ID,2021-11-23,1.0,1.0,0.0,7.0
455,ID,2021-11-24,0.0,1.0,0.0,7.0
291,ID,2021-11-25,1.0,1.0,1.0,10.0
530,ID,2021-11-26,0.0,1.0,0.0,5.0
531,ID,2021-11-27,0.0,1.0,0.0,4.0
583,ID,2021-11-28,0.0,0.0,1.0,3.0
559,ID,2021-11-29,0.0,0.0,1.0,3.0
560,ID,2021-11-30,0.0,0.0,1.0,5.0
561,ID,2021-12-01,0.0,0.0,1.0,7.0
292,ID,2021-12-02,1.0,1.0,1.0,7.0
293,ID,2021-12-03,1.0,1.0,1.0,9.0
294,ID,2021-12-04,1.0,1.0,1.0,10.0
532,ID,2021-12-05,0.0,1.0,0.0,7.0
533,ID,2021-12-06,0.0,1.0,0.0,5.0
534,ID,2021-12-07,0.0,1.0,1.0,7.0
295,ID,2021-12-08,4.0,1.0,1.0,10.0
296,ID,2021-12-09,1.0,0.0,0.0,6.0
297,ID,2021-12-10,1.0,0.0,1.0,5.0
298,ID,2021-12-11,1.0,0.0,0.0,6.0
299,ID,2021-12-12,1.0,0.0,1.0,6.0
456,ID,2021-12-13,0.0,0.0,1.0,5.0
300,ID,2021-12-14,1.0,0.0,1.0,9.0
301,ID,2021-12-15,1.0,1.0,0.0,4.0
302,ID,2021-12-16,1.0,0.0,1.0,7.0
